Fund Name (AS CITED),ADAGE CAPITAL
International Paper Co.,6.57E-05
Avadel Pharmaceuticals plc,6.55E-05
Borr Drilling Ltd,6.07E-05
News Inc. Class B,5.92E-05
Campbell Soup Co.,5.89E-05
United Airlines Holdings Inc,5.84E-05
DT Midstream Inc,5.65E-05
Cactus Inc,5.62E-05
Neurogene Inc,5.42E-05
Vaxxinity Inc,5.26E-05
Cytokinetics Inc,5.17E-05
Turing Holding Corp,4.96E-05
Woodward Inc,4.94E-05
ALX Oncology Holdings Inc.,4.91E-05
Flame Acquisition Corp,4.71E-05
"EastGroup Properties, Inc.",4.69E-05
Dot Therapeutics-2 Inc,4.52E-05
Integra LifeSciences Holdings Corp,4.49E-05
Arq Inc,4.46E-05
Symbotic Inc,4.24E-05
Otis Worldwide Corp,4.17E-05
TFI Intl Inc,4.09E-05
Loews Corp,3.99E-05
Monday.Com Ltd,3.87E-05
JFrog Ltd.,3.57E-05
Third Harmonic Bio Inc,3.44E-05
Arch Coal Inc,3.42E-05
CervoMed Inc,3.14E-05
Ventyx Biosciences Inc,3.06E-05
"BioAtla, Inc.",3.04E-05
Karyopharm Therapeutics Inc,2.97E-05
American Homes 4 Rent,2.95E-05
BP Plc ADR (British Petroleum),2.92E-05
BioXcel Therapeutics Inc,2.83E-05
Immunocore Holdings PLC,2.82E-05
Acelyrin Inc,2.77E-05
Caribou Biosciences Inc,2.41E-05
Excelerate Energy Inc,2.39E-05
Moog Inc Class A,2.26E-05
Molecular Templates Inc,2.25E-05
Parker-Hannifin Corp.,2.18E-05
U-Haul Holding Company Class B,2.18E-05
CureVac N.V.,2.16E-05
Fidelis Insurance Holdings Ltd.,1.96E-05
OPAL Fuels Inc,1.82E-05
BJs Wholesale Club Holdings Inc,1.82E-05
ProPetro Holding Corp,1.73E-05
Spirit Aerosystems Holdings Inc. Class A,1.66E-05
Energy Recovery Inc,1.65E-05
"Taysha Gene Therapies, Inc.",1.53E-05
Immuneering Corp,1.52E-05
Allakos Inc,1.41E-05
Farmer Brothers Co,1.40E-05
Lifezone Metals Ltd Warrent Exp 07/05/202,1.39E-05
Catalyst Pharmaceuticals Inc,1.39E-05
Rezolute Inc,1.29E-05
Benitec Biopharma Ltd ADR,1.26E-05
Ikena Oncology Inc,1.17E-05
Bolt Biotherapeutics Inc,1.16E-05
Liberty Oilfield Services Inc,1.12E-05
Rapid Micro Biosystems Inc,1.07E-05
G1 Therapeutics Inc,9.44E-06
NeoGames S.A.,8.09E-06
Chimerix Inc,7.94E-06
LanzaTech Global Inc,7.70E-06
Nauticus Robotics Inc,5.16E-06
GlycoMimetics Inc,4.87E-06
Investcorp Europe Acquisition Corp I,4.73E-06
Screaming Eagle Acquisition Corp,4.57E-06
Forum Energy Technologies Inc,4.57E-06
United Homes Group Inc,3.99E-06
Revolution Medicines Inc,3.40E-06
Comtech Telecommunications Corp.,3.22E-06
Lotus Technology Inc.,2.30E-06
LanzaTech Global Inc,1.96E-06
Nine Energy Service Inc,1.94E-06
MedAvail Holdings Inc,1.85E-06
Battery Future Acquisition Corp,1.55E-06
Bridger Aerospace Group Holdings Inc,1.49E-06
Neximmune Inc,1.47E-06
Pegasus Digital Mobility Acquisition Corp,1.45E-06
PowerUp Acquisition Corp,1.30E-06
Palladyne AI Corp.,1.24E-06
Cano Health Inc,1.21E-06
LIVEWIRE GROUP INC *W EXP 09/26/202,1.20E-06
Lavoro Ltd,1.16E-06
Kensington Capital Acquisition Corp V,1.14E-06
SK Growth Opportunities Corp,1.01E-06
Borealis Foods Inc.,9.97E-07
Adit Edtech Acquisition Corp,9.72E-07
RCF Acquisition Corp,9.30E-07
NET POWER INC Warrants Exp June 8 2028,9.08E-07
Rigel Resource Acquisition Corp,8.87E-07
Pyrophyte Acquisition Corp,8.39E-07
Zeo Energy Corp.,6.68E-07
Investcorp India Acquisition Corp,6.27E-07
TortoiseEcofin Acquisition Corp III,5.96E-07
bleuacacia ltd,5.84E-07
Cartica Acquisition Corp,5.77E-07
Patria Latin American Opportunity Acquisition Corp,5.57E-07
BlueRiver Acquisition Corp,5.46E-07
Pearl Holdings Acquisition Corp,4.96E-07
SDCL EDGE Acquisition Corp,4.88E-07
Spree Acquisition Corp 1 Ltd,4.87E-07
AltEnergy Acquisition Corp,4.58E-07
Nuvation Bio Inc,3.30E-07
SomaLogic Inc,3.10E-07
NKGen Biotech Inc,3.03E-07
Edify Acquisition Corp,2.59E-07
bleuacacia ltd,2.26E-07
LANVIN GROUP HOLDINGS LIMITE *W EXP 99/99/999,1.87E-07
RMG Acquisition Corp III,1.79E-07
Mountain & Co I Acquisition Corp,1.71E-07
Constellation Acquisition Corp I,1.70E-07
ExcelFin Acquisition Corp,1.57E-07
Slam Corp,1.57E-07
Zapp Electric Vehicles Group Ltd,1.37E-07
Jaws Mustang Acquisition Corporation,1.26E-07
Spectaire Holdings Inc,9.90E-08
Montana Technologies Corp.,9.28E-08
Palladyne AI Corp.,4.77E-08
