Company Short Name,Company Standard Name,Country of HQ,Primary Symbol,Primary Exchange Short,Primary Exchange Name,Industry,Primary ISIN,Summary,Divestment Shortlist,Prisons,Occupations,Borders,Link
First Intl Bank of Israel,First International Bank of Israel Ltd,Israel,FIBI,TASE,TEL AVIV STOCK EXCHANGE,Banks-Regional,IL0005930388,One of Israel's largest banks. It is deeply involved in the expansion of Israel's illegal settlements in the occupied Palestinian territory.,1,,1,,https://investigate.info/company/first-intl-bank-israel
First Solar,First Solar Inc,USA,FSLR,NASDAQ,NASDAQ,Solar,US3364331070,A US-based manufacturer of solar energy systems. Provides solar panels for a solar farm in an illegal Israeli settlement in the occupied West Bank.,,,1,,https://investigate.info/company/first-solar
Foot Locker,Foot Locker Inc,USA,FL,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Apparel Retail,US3448491049,"A US-based apparel and accessories retailer that has a store in Ma’ale Adumim, an illegal Israeli settlement in the occupied West Bank. The store is operated by its Israeli licensee, Fox-Wizel.",,,1,,https://investigate.info/company/foot-locker
Ford Motor,Ford Motor Co,USA,F,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Auto Manufacturers,US3453708600,A US-based vehicle manufacturer that provides commercial and specialized vehicles to Israeli occupation authorities and US police and immigration agencies.,,1,1,1,https://investigate.info/company/ford-motor
Formula Sys (1985),Formula Systems (1985) Ltd,Israel,FORTY,NASDAQ,NASDAQ,Information Technology Services,IL0002560162,"A subsidiary of multinational software company Asseco and parent company of Matrix IT and other subsidiaries that provide security systems and IT services to illegal Israeli settlements, the Israeli military, and the Israeli Ministry of Defense.",1,,1,,https://investigate.info/company/formula-systems-1985
Fosun International,Fosun International Ltd,China,656,HKG,STOCK EXCHANGE OF HONG KONG LTD,Insurance - Diversified,HK0656038673,"A Chinese multinational conglomerate that owns AHAVA, which has a production site and visitor center in an illegal Israeli settlement, despite moving its operations outside of the occupied Palestinian territory.
",,,1,,https://investigate.info/company/fosun-international
Fox-Wizel,Fox-Wizel Ltd,Israel,FOX,TASE,TEL AVIV STOCK EXCHANGE,Apparel Manufacturing,IL0010870223,"An Israeli apparel and accessories retailer that has stores in multiple illegal settlements in the occupied West Bank under its brands Foot Locker, Fox, Laline, and The Children's Place.",,,1,,https://investigate.info/company/fox-wizel
G1 Secure Solutions,G1 Secure Solutions Ltd,Israel,GOSS,TASE,TEL AVIV STOCK EXCHANGE,Security & Protection Services,IL0011562803,"One of Israel's largest private security firms, formerly a subsidiary of G4S. Provides security services and equipment to several projects of the Israeli occupation of Palestine, including illegal settlements, military checkpoints, the Israeli police and prison system.",1,,1,,https://investigate.info/company/g1-secure-solutions
GE Aero,GE Aerospace,USA,GE,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Diversified Industrials,US3696043013,One of the world's largest weapons companies. It manufactures engines for multiple weapon systems that are routinely used in war crimes against Palestinian civilians and infrastructure for a power plant in the occupied Syrian Golan.,1,,1,,https://investigate.info/company/general-electric
Genasys,Genasys Inc,USA,GNSS,NASDAQ,NASDAQ,Scientific & Technical Instruments,US36872P1030,"Formerly LRAD, A US company specializing in hailing systems. Its weaponized Long Range Acoustic Device is used by the Israeli military in the occupied West Bank.",1,,1,,https://investigate.info/company/genasys
General Dynamics,General Dynamics Corp,USA,GD,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Aerospace & Defense,US3695501086,The fifth-largest military contractor in the world. It manufactures weapons that are used by the Israeli military against Palestinian civilians and surveillance technology that is used to monitor and surveil the U.S.–Mexico border and immigrant communities.,1,,1,1,https://investigate.info/company/general-dynamics
General Motors,General Motors Co,USA,GM,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Auto Manufacturers,US37045V1008,"A US automaker whose engines power vehicles used by the Israeli military and whose trucks have been used by Israeli military and police forces to surveil Palestinians and for other occupation-related purposes. It supplies vehicles to US police, prison, and immigration authorities.",,1,1,1,https://investigate.info/company/general-motors
GEO Group,The GEO Group Inc,USA,GEO,NYSE,"NEW YORK STOCK EXCHANGE, INC.",REIT - Healthcare Facilities,US36162J1060,"The world’s second-largest private prison company. It owns and operates prisons and jails, including immigration jails and “community corrections” centers, and uses forced prison labor. It also provides e-carceration technologies, transportation, and other services as part of the criminal punishment system.",1,1,,1,https://investigate.info/company/geo-group
Granite Construction,Granite Construction Inc,USA,GVA,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Engineering & Construction,US3873281071,A US-based construction company that built parts of and performed maintenance on the US–Mexico border barrier.,1,,,1,https://investigate.info/company/granite-construction
Hamat Group,Hamat Group Ltd,Israel,HAMAT,TASE,TEL AVIV STOCK EXCHANGE,Home Improvement Stores,IL0003840167,An Israeli company that manufactures products for bathrooms and kitchens. It operates a factory in an illegal Israeli settlement in the occupied West Bank.,,,1,,https://investigate.info/company/hamat-group
Hangzhou Hik-Vision,Hangzhou Hik-Vision Digital Technology Co Ltd,China,2415,SHE,SHENZHEN STOCK EXCHANGE,Computer Hardware,CNE100000PM8,"A Chinese manufacturer of surveillance cameras and software, AI systems, access control technology, and other products. Its equipment is used to surveil Palestinians in the occupied West Bank and by prison and police agencies worldwide.",,,1,,https://investigate.info/company/hangzhou-hik-vision
Harel Insurance Inv,Harel Insurance Investments & Financial Services Ltd,Israel,HARL,TASE,TEL AVIV STOCK EXCHANGE,Insurance-Diversified,IL0005850180,One of Israel's largest insurance companies. It routinely finances and insures construction projects in Israel's illegal settlements throughout the occupied West Bank.,,,1,,https://investigate.info/company/harel-insurance-inv
HD Hyundai,HD Hyundai,South Korea,267250,KRX,KOREA EXCHANGE (STOCK MARKET),Oil & Gas Refining & Marketing,KR7267250009,"The parent company of Korea Shipbuilding and its subsidiary Hyundai Heavy Industries, whose products are used to demolish homes and to construct illegal settlements in the occupied West Bank and Golan Heights.",,,1,,https://investigate.info/company/hd-hyundai
HD Hyundai Heavy,HD Hyundai Heavy Industries,South Korea,329180,KRX,KOREA EXCHANGE (STOCK MARKET),Aerospace & Defense,KR7329180004,The world's largest shipbuilding company and a major heavy equipment manufacturer. Its products are used to demolish homes and to construct illegal settlements in the occupied West Bank and Golan Heights.,,,1,,https://investigate.info/company/hyundai-heavy-industries
HD Korea Shipbuilding,HD Korea Shipbuilding & Offshore Engineering,South Korea,9540,KRX,KOREA EXCHANGE (STOCK MARKET),Specialty Industrial Machinery,KR7009540006,"The parent company of HD Hyundai Heavy Industries, whose products are used to demolish homes and to construct illegal settlements in the occupied West Bank and Golan Heights.",,,1,,https://investigate.info/company/korea-shipbuilding
Heidelberg Materials,Heidelberg Materials AG,Germany,HEI,ETR,XETRA,Building Materials,DE0006047004,The world's largest cement producer and a leader in the production of aggregates. Operates quarries and manufacturing facilities in the occupied West Bank. Its products have been used to build and expand illegal settlements.,1,,1,,https://investigate.info/company/heidelbergcement
Hewlett Packard,Hewlett Packard Enterprise Co,USA,HPE,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Communication Equipment,US42824C1099,"A US multinational high tech company, previously part of HP. Provides equipment to the discriminatory Israeli population registry and prison system.",,,1,,https://investigate.info/company/hewlett-packard
Hilan,Hilan Ltd,Israel,HLAN,TASE,TEL AVIV STOCK EXCHANGE,Information Technology Services,IL0010846983,An Israeli IT company that operates multiple projects supporting the Israeli occupation of Palestine. It operates in illegal settlements and manages parts of Israel's discriminatory population registry system.,,,1,,https://investigate.info/company/hilan-0
Hitachi,Hitachi Ltd,Japan,6501,TKS,TOKYO STOCK EXCHANGE,Information Technology Services,JP3788600009,"A Japanese multinational conglomerate in the communications, infrastructure, electronics, transportation, heavy machinery, and financial industries, among others. Provides equipment that Israel uses to demolish homes in the occupied Palestinian territory.",,,1,,https://investigate.info/company/hitachi
Hitachi Construction,Hitachi Construction Machinery Co Ltd,Japan,6305,TKS,TOKYO STOCK EXCHANGE,Farm & Construction Equipment,JP3787000003,Subsidiary of Hitachi Construction,,,1,,https://investigate.info/company/hitachi
Honda Motor Co,Honda Motor Co Ltd,Japan,7267,TKS,TOKYO STOCK EXCHANGE,Auto Manufacturers,JP3854600008,A Japanese vehicle manufacturer that provides vehicles to US Customs and Border Protection.,,,,1,https://investigate.info/company/honda-motor-co
Honeywell Intl,Honeywell International Inc,USA,HON,NASDAQ,NASDAQ,Conglomerates,US4385161066,A US manufacturer of components that are integrated into multiple weapons systems used to commit war crimes.,1,,1,,https://investigate.info/company/honeywell-intl
HSBC Holdings,HSBC Holdings PLC,UK,HSBA,LSE,LONDON STOCK EXCHANGE,Banks-Diversified,GB0005405286,A UK-based bank holding and financial services company. It has been one of the main financial backers of private prison companies CoreCivic and GEO Group.,,1,,1,https://investigate.info/company/hsbc-holdings
Hyundai Doosan Infracore,Hyundai Doosan Infracore Co Ltd,South Korea,42670,KRX,KOREA EXCHANGE (STOCK MARKET),Farm & Construction Equipment,KR7042670000,"A subsidiary of Doosan and parent company of Bobcat, which makes construction equipment that has been used in the construction of the West Bank separation wall and infrastructure projects in illegal settlements in the occupied West Bank.",,,1,,https://investigate.info/company/doosan
IBM,International Business Machines Corp,USA,IBM,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Information Technology Services,US4592001014,One of the largest IT companies in the world. It provides technologies to the Israeli military and operates Israel’s discriminatory population registry.,1,,1,,https://investigate.info/company/ibm
ICL Group,ICL Group Ltd,Israel,ICL,NYSE,TEL AVIV STOCK EXCHANGE,Agricultural Inputs,IL0002810146,"One of Israel’s largest companies, which makes fertilizers and chemicals from minerals that it extracts from the Dead Sea. It has provided services to and conducted agricultural experiments in illegal Israeli settlements in the occupied West Bank and Golan Heights, and the products that it manufactures have been used in multiple illegal settlements.",,,1,,https://investigate.info/company/icl-group
Internet Gold-Golden,Internet Gold-Golden Lines Ltd,Israel,IGLD-M,TASE,TEL AVIV STOCK EXCHANGE,Telecom Services,IL0010834435,"The parent company of B Communications, which has a controlling interest in Bezeq, Israel's largest telecommunications provider. Been has infrastructure throughout the occupied West Bank and Golan Heights and provides telecommunication services to illegal Israeli settlements, military bases, and checkpoints.",1,,1,,https://investigate.info/company/bezeq-israeli-telecom
Israel Discount Bank,Israel Discount Bank Ltd,Israel,DSCT,TASE,TEL AVIV STOCK EXCHANGE,Banks - Regional - Asia,IL0006912120,One of Israel's largest banks. Financed the construction of housing projects in multiple illegal settlements in the occupied Palestinian territory. Has branches in illegal settlements.,1,,1,,https://investigate.info/company/israel-discount-bank
JA Solar Technology Co,JA Solar Technology Co Ltd,China,2459,SHENZHEN,SHENZHEN STOCK EXCHANGE,Solar,CNE100000SD1,A Chinese manufacturer of solar energy systems. Provides solar panels for a solar farm in an illegal Israeli settlement in the occupied West Bank.,,,1,,https://investigate.info/company/ja-solar-technology
Jain Irrigation Systems,Jain Irrigation Systems Ltd,India,500219,"BOM
",MUMBAI STOCK EXCHANGE,Farm & Heavy Construction Machinery,INE175A01038,An Indian multinational manufacturing company. Its subsidiary NaanDan Jain Irrigation carries out irrigation projects in and provides services to illegal Israeli settlements in the occupied West Bank and Golan Heights.,,,1,,https://investigate.info/company/jain-irrigation-systems
Kardan,Kardan NV,Netherlands,KRNV-M,TASE,TEL AVIV STOCK EXCHANGE,Real Estate - General,NL0000113652,"A Dutch investment company that develops and manages assets and projects in real estate and water infrastructure. Through its subsidiary TAHAL Group, the company has carried out multiple projects in illegal Israeli settlements in the occupied Palestinian territory.",1,,1,,https://investigate.info/company/kardan
KBR,KBR Inc,USA,KBR,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Engineering & Construction,US48242W1062,A US-based construction and engineering firm that maintains and repairs the US–Mexico border fence in Arizona.,1,,,1,https://investigate.info/company/kbr
Kongsberg Gruppen,Kongsberg Gruppen ASA,Norway,KOG,OSE,OSLO BORS ASA,,NO0003043309,"A Norwegian multinational company operating in the marine, weapons, aerospace, oil and gas, and utilities industries. Its subsidiary Kongsberg Defence & Aerospace owns 25% of Norwegian weapons manufacturer Nammo.",1,,1,,https://investigate.info/company/kongsberg-gruppen
Kroger,The Kroger Co,USA,KR,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Grocery Stores,US5010441013,A US retail company that operates supermarkets across the country. It sells products that are produced using prison labor.,,1,,,https://investigate.info/company/kroger
L3Harris Technologies,L3Harris Technologies Inc,USA,LHX,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Communication Equipment,US5024311095,A US weapons manufacturer that provides phone tracking devices and other equipment to the Israeli military and US immigration authorities. It used to provide surveillance technologies for use along the US–Mexico border and at Israeli military checkpoints.,1,,1,1,https://investigate.info/company/l3harris-technologies
Lapidoth Capital,Lapidoth Capital Ltd,Israel,LAPD,TASE,TEL AVIV STOCK EXCHANGE,Oil & Gas E&P,IL0006420173,"A large Israeli construction, infrastructure, and drilling company. Its subsidiaries Africa Israel and Danya Cebus are involved in several construction and infrastructure projects in illegal Israeli settlements in the occupied Palestinian territory.",1,,1,,https://investigate.info/company/lapidoth-capital
Leidos Holdings,Leidos Holdings Inc,USA,LDOS,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Information Technology Services,US5253271028,A US-based military IT contractor that provides imaging technologies and biometric systems to US immigration authorities for border monitoring and surveillance.,1,,,1,https://investigate.info/company/leidos-holdings
Leonardo,Leonardo SpA,Italy,LDO,MIL,BORSA ITALIANA S.P.A.,Aerospace & Defense,IT0003856405,An Italian weapon manufacturer that provides the Israeli Navy with warship guns,1,,1,,https://investigate.info/company/leonardo
Leonardo DRS,Leonardo DRS Inc,USA,DRS,NASDAQ,NASDAQ,Aerospace & Defense,US52661A1088,A US subsidiary of Italy's largest weapons manufacturer. It supplies the Israeli military with naval guns and tank trailers.,1,,1,,https://investigate.info/company/leonardo
Lesico,Lesico Ltd,Israel,LSCO,TASE,TEL AVIV STOCK EXCHANGE,Engineering & Construction,IL0011409468,An Israeli construction and development company that has provided services and infrastructure to illegal Israeli settlements and military checkpoints in the occupied West Bank.,1,,1,,https://investigate.info/company/lesico
Liberty TripAdvisor Hldgs,Liberty TripAdvisor Holdings Inc,USA,LTRPA,NASDAQ,NASDAQ,Internet Content & Information,US5314651028,"The parent company of TripAdvisor, an American online travel and tourism company whose flagship website, TripAdvisor.com, lists accommodations and activities in illegal Israeli settlements on occupied Palestinian and Syrian land.",,,1,,https://investigate.info/company/tripadvisor
Lockheed Martin,Lockheed Martin Corp,USA,LMT,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Aerospace & Defense,US5398301094,The world’s largest military company. It manufactures weapons that are routinely used by the Israeli military against Palestinian civilians and reconnaissance aircraft that are used by US immigration authorities to monitor the US–Mexico border.,1,,1,1,https://investigate.info/company/lockheed-martin
Malam-Team,Malam-Team Ltd,Israel,MLTM,TASE,TEL AVIV STOCK EXCHANGE,Information Technology Services,IL0001560189,An Israeli IT company that operates in an illegal Israeli settlement in the occupied Palestinian territory and conducts projects for the Israeli military.,,,1,,https://investigate.info/company/malam-team
Manitou BF,Manitou BF SA,France,MTU,PAR,NYSE EURONEXT - EURONEXT PARIS,Diversified Industrials,FR0000038606,A French manufacturer of heavy machinery and construction equipment. Its cranes have been used in the construction and maintenance of the separation wall in the occupied West Bank.,,,1,,https://investigate.info/company/manitou-bf
Matrix IT,Matrix IT Ltd,Israel,MTRX,TASE,TEL AVIV STOCK EXCHANGE,Information Technology Services,IL0004450156,"An Israeli IT service management company and subsidiary of Formula Systems. It provides services and technology to illegal Israeli settlements, the Israeli military, and the Israel Police and Prison Services, and operates one branch in an illegal settlement in the occupied West Bank.",,,1,,https://investigate.info/company/formula-systems-1985
McDonald's,McDonald's Corp,USA,MCD,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Restaurants,US5801351017,The world's largest fast-food chain. It uses incarcerated labor at its restaurants and has prison labor in its supply chain.,,1,,,https://investigate.info/company/mcdonalds
Mega Or Holdings,Mega Or Holdings Ltd,Israel,MGOR,TASE,TEL AVIV STOCK EXCHANGE,Real Estate Services,IL0011044885,An Israeli real estate firm. Develops shopping malls in illegal settlements in the occupied West Bank.,1,,1,,https://investigate.info/company/mega-or-holdings
Mehadrin,Mehadrin Ltd,Israel,MEDN,TASE,TEL AVIV STOCK EXCHANGE,Farm Products,IL0006860147,Israel's largest grower and exporter of various fruits and vegetables. It owns and operates dozens of orchards and facilities in the occupied West Bank and Golan Heights.,,,1,,https://investigate.info/company/mehadrin
Menora Mivtachim Holdings,Menora Mivtachim Holdings Ltd,Israel,MMHD,TASE,TEL AVIV STOCK EXCHANGE,Insurance-Diversified,IL0005660183,One of Israel's largest insurance companies. It routinely finances construction projects in Israel's illegal settlements throughout the occupied West Bank.,,,1,,https://investigate.info/company/menorah-mivtachim-holdings
Mercedes-Benz Group,Mercedes-Benz Group AG,Germany,MBG,XETRA German Electronic Exchange,XETRA GERMAN ELECTRONIC EXCHANGE,,DE0007100000,A German multinational automotive company that supplies tank transporters to the Israeli military.,,,1,,https://investigate.info/company/mercedes-benz-group
Meta Platforms,Meta Platforms Inc,USA,META,NASDAQ,NASDAQ,Internet Content & Information,US30303M1027,"The parent company of Facebook, Instagram, WhatsApp, and other platforms. Its social media platforms discriminate against Palestinians and have been implicated in the surveillance of Palestinian civilians.",,,1,,https://investigate.info/company/facebook
Micro Systemation,Micro Systemation AB,Sweden,MSAB B,STO,OMX NORDIC EXCHANGE STOCKHOLM AB,Software-Application,SE0000526626,A Swedish data extraction firm that provides digital forensics tools to law enforcement and immigration authorities.,,1,,1,https://investigate.info/company/msab
Microsoft,Microsoft Corp,USA,MSFT,NASDAQ,NASDAQ,Software - Infrastructure,US5949181045,One of the world's largest companies. Its technologies are used by the Israeli military and police and by US government agencies to surveil immigrant communities and manage prisons.,,1,1,1,https://investigate.info/company/microsoft
Migdal Insurance & Finl,Migdal Insurance & Financial Holdings Ltd,Israel,MGDL,TASE,TEL AVIV STOCK EXCHANGE,Insurance-Life,IL0010811656,One of Israel's largest insurance companies. It routinely finances and insures construction projects in Israel's illegal settlements throughout the occupied West Bank and provides financial services to illegal settlement councils.,,,1,,https://investigate.info/company/migdal-insurance-finl
Minerals Technologies,Minerals Technologies Inc,USA,MTX,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Chemicals,US6031581068,A US-based multinational minerals company. Its products are used in the construction of a water system for illegal settlements in the occupied West Bank.,,,1,,https://investigate.info/company/minerals-technologies
MITIE Gr,MITIE Group PLC,UK,MTO,LSE,LONDON STOCK EXCHANGE,Business Services,GB0004657408,"A British facility management, consultancy, and product management company that operates private prisons and immigration jails in the UK.",1,1,,,https://investigate.info/company/mitie-group
Mitsubishi,Mitsubishi Corp,Japan,8058,TKS,TOKYO STOCK EXCHANGE,Conglomerates,JP3898400001,Subsidiary of Mitsubishi Motors,,,1,,https://investigate.info/company/mitsubishi
Mitsubishi Motors,Mitsubishi Motors Corp,Japan,7211,TKS,TOKYO STOCK EXCHANGE,Auto Manufacturers,JP3899800001,A Japanese automotive manufacturer. Its vehicles have been used in the process of demolition and confiscation of Palestinian property in the occupied West Bank.,,,1,,https://investigate.info/company/mitsubishi
Mivne Real Estate (K.D),Mivne Real Estate (K.D) Ltd,Israel,MVNE,TASE,TEL AVIV STOCK EXCHANGE,Real Estate Services,IL0002260193,"An Israeli real estate company, specializes in properties for industrial or commercial use, formed as the merger of Industrial Buildings Corporation and Jerusalem Economy. Owns multiple industrial spaces in the occupied West Bank and Golan Heights.",1,,1,,https://investigate.info/company/mivne-real-estate-kd
Mizrahi Tefahot Bank,Mizrahi Tefahot Bank Ltd,Israel,MZTF,TASE,TEL AVIV STOCK EXCHANGE,Banks - Regional - Asia,IL0006954379,A major Israeli bank. Financed the construction of multiple illegal settlements in the occupied Palestinian territory. Has branches in illegal settlements. Discriminates against Palestinian citizens of Israel.,1,,1,,https://investigate.info/company/mizrahi-tefahot-bank
ModivCare,ModivCare Inc,USA,MODV,NASDAQ,NASDAQ,Medical Care Facilities,US60783X1046,"A US-based healthcare company, formerly named the Providence Service Corporation, that provides medical transportation services to prisons.",,1,,,https://investigate.info/company/providence-service
Mordechai Aviv Taasiot,Mordechai Aviv Taasiot Beniyah (1973) Ltd,Israel,AVIV,TASE,TEL AVIV STOCK EXCHANGE,Engineering & Construction,IL0004440181,An Israeli construction and real estate development company that constructs residential and commercial projects in illegal Israeli settlements in the occupied Palestinian territory.,1,,1,,https://investigate.info/company/mordechai-aviv-taasiot
Motorola Solns,Motorola Solutions Inc,USA,MSI,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Communication Equipment,US6200763075,"A US-based communications and surveillance company. Its surveillance products are used in US prisons, along the US–Mexico border, and by US police departments. Its equipment is installed in illegal Israeli settlements and along the separation wall in the occupied West Bank and is used by the Israeli military, police, and prison service.",1,1,1,1,https://investigate.info/company/motorola-solutions
Natuzzi,Natuzzi SPA,Italy,NTZ,NYSE,"NEW YORK STOCK EXCHANGE, INC.","Furnishings, Fixtures & Appliances",US63905A2006,An Italian furniture manufacturer. Has a store in an illegal settlement in the occupied West Bank.,,,1,,https://investigate.info/company/natuzzi
NEC,NEC Corp,Japan,6701,TKS,TOKYO STOCK EXCHANGE,Information Technology Services,JP3733000008,A Japanese IT company that provides US immigration authorities with biometric technologies used to target immigrant communities.,,,,1,https://investigate.info/company/nec
Nextcom,Nextcom Ltd,Israel,NXTM,TASE,TEL AVIV STOCK EXCHANGE,Telecom Services,IL0010957855,An Israeli infrastructure company that operates a wind energy project in the occupied Golan Heights and has provided communication infrastructure to the Israeli military.,,,1,,https://investigate.info/company/nextcom
NICE,NICE Ltd,Israel,NICE,TASE,TEL AVIV STOCK EXCHANGE,Software-Application,US6536561086,"An Israeli surveillance technology company that sells voice recording, video, and other surveillance tools to US police departments and prisons.",1,1,,,https://investigate.info/company/nice
Northrop Grumman,Northrop Grumman Corp,USA,NOC,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Aerospace & Defense,US6668071029,The world’s third-largest military company. It manufactures weapons that are used by the Israeli military against Palestinian civilians and surveillance technologies used by US immigration authorities to monitor the US–Mexico border.,1,,1,1,https://investigate.info/company/northrop-grumman
NVIDIA,NVIDIA Corp,USA,NVDA,NASDAQ,NASDAQ,Semiconductors,US67066G1040,Provides products and services to the Israeli military and has a large presence in Israel.,,,1,,https://investigate.info/company/nvidia
One Software Technologies,One Software Technologies Ltd,Israel,ONE,TASE,TEL AVIV STOCK EXCHANGE,Software - Application,IL0001610182,One of Israel's largest IT companies. Its subsidiary Tescom has facilities in an illegal settlement in the occupied West Bank.,,,1,,https://investigate.info/company/one-software-technologies
Orad,Orad Ltd,Israel,ORAD,TASE,TEL AVIV STOCK EXCHANGE,Software - Infrastructure,IL0011044968,An Israeli manufacturer of security and perimeter protection technology. Its equipment is installed in illegal Israeli settlements and the separation wall in the occupied West Bank.,,,1,,https://investigate.info/company/orad
Orbia Advance Corp SAB,Orbia Advance Corp SAB de CV,Mexico,ORBIA,MEX,BOLSA MEXICANA DE VALORES (MEXICAN STOCK EXCHANGE),Chemicals,MX01OR010004,"A Mexican company (formerly Mexichem) that operates in the materials, agriculture, and infrastructure industries. Its Israeli subsidiary Netafim, a world leader in precision irrigation technologies, provides products and services to several illegal settlements in the occupied Palestinian territory.",,,1,,https://investigate.info/company/orbia
Oron Group Invs & Hldgs,Oron Group Investments & Holdings Ltd,Israel,ORON,TASE,TEL AVIV STOCK EXCHANGE,Engineering & Construction,IL0011357063,An Israeli development and engineering firm. Operates a quarry and factory in the occupied West Bank and involved in illegal settlement construction.,1,,1,,https://investigate.info/company/oron-group
Oshkosh,Oshkosh Corp,USA,OSK,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Farm & Heavy Construction Machinery,US6882392011,"An American industrial company that designs and builds specialty trucks, military vehicles, and access equipment. Equipment made by its subsidiary JLG Industries has been used in multiple construction projects in illegal Israeli settlements the occupied Palestinian territory.",1,,1,,https://investigate.info/company/oshkosh
OSI Systems,OSI Systems Inc,USA,OSIS,NASDAQ,NASDAQ,Electronic Components,US6710441055,"A US-based manufacturer of security and inspection systems, which are used at US border checkpoints and Israeli military checkpoints in the occupied Palestinian territory.",,,1,1,https://investigate.info/company/osi-systems
Palantir Technologies,Palantir Technologies Inc,USA,PLTR,NYSE,"New YORK STOCK EXCHANGE, INC.",Software-Infrastructure,US69608A1088,"A US-based high-tech surveillance company whose big data AI tools are used by Israeli security forces and U.S. law and immigration enforcement agencies.
",1,,1,1,https://investigate.info/company/palantir
Partner Communications Co,Partner Communications Co Ltd,Israel,PTNR,NASDAQ,NASDAQ,Telecom Services,IL0010834849,One of the largest Israeli providers of cellular phone services. Has hundreds of antennas and other communications facilities in the occupied West Bank and Golan Heights. Services illegal settlements and military bases in the occupied West Bank.,1,,1,,https://investigate.info/company/partner-communications
PayPal Holdings,PayPal Holdings Inc,USA,PYPL,NASDAQ,NASDAQ,Credit Services,US70450Y1038,The global leader in online payments. Discriminates against Palestinians in its services.,,,1,,https://investigate.info/company/paypal
Paz Retail And Energy,Paz Retail And Energy Ltd,Israel,PAZ,TASE,TEL AVIV STOCK EXCHANGE,Oil & Gas Refining & Marketing,IL0011000077,"Israel's largest fuel and gas retailer, supplying Israel's illegal settlements, military, police, and prisons.
",1,,1,,https://investigate.info/company/paz-oil-co
Perrigo,Perrigo Co PLC,USA,PRGO,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Drug Manufacturers - Specialty & Generic,IE00BGH1M568,An American-Irish manufacturer of pharmaceuticals. It was perviously part of an oligopoly of pharmaceutical companies that benefited from selling to the captive Palestinian market.,,,1,,https://investigate.info/company/perrigo-co
Phoenix Holdings,Phoenix Holdings Ltd,Israel,PHOE,TASE,TEL AVIV STOCK EXCHANGE,Insurance-Diversified,IL0007670123,One of Israel's largest insurance companies. It routinely finances and insures construction and infrastructure projects in Israel's illegal settlements throughout the occupied West Bank and Golan Heights and provides financial services to illegal settlement councils.,,,1,,https://investigate.info/company/phoenix-holdings
Pinnacle Finl Partners,Pinnacle Financial Partners Inc,USA,PNFP,NASDAQ,NASDAQ,Banks-Regional,US72346Q3020,A US-based banking company. It has been a major financier of private prison company CoreCivic.,,1,,1,https://investigate.info/company/pinnacle-finl-partners
Polaris,Polaris Inc,USA,PII,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Recreational Vehicles,US7310681025,"A US-based vehicle manufacturer that provides all-terrain vehicles, utility task vehicles, and snowmobiles to US immigration authorities.",,,1,1,https://investigate.info/company/polaris
Primo Water,Primo Water Corp,Canada,PRMW,TSX,TORONTO STOCK EXCHANGE,Beverages-Non-Alcoholic,CA74167P1080,A Canadian multinational beverage and food service company (formerly Cott Corp). Its Israeli subsidiary Eden Springs extracts water from the occupied Golan Heights and is headquartered in an illegal settlement there.,1,,1,,https://investigate.info/company/primo-water
Rami Levi Chain Stores,Rami Levi Chain Stores Hashikma Marketing 2006 Ltd,Israel,RMLI,TASE,TEL AVIV STOCK EXCHANGE,Grocery Stores,IL0011042491,Israel’s third largest grocery store chain. Owns real estate and operates stores in multiple illegal settlements in the occupied West Bank.,1,,1,,https://investigate.info/company/rami-levi-chain-stores
RE/MAX Hldgs,RE/MAX Holdings Inc,USA,RMAX,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Real Estate Services,US75524W1080,One of the world’s largest real estate companies. Sells and rents real estate in multiple illegal settlements in the occupied West Bank. Has a franchised office in a settlement.,,,1,,https://investigate.info/company/remax-holdings
Regions Finl,Regions Financial Corp,USA,RF,NYSE,"NEW YORK STOCK EXCHANGE, INC.",Banks-Regional,US7591EP1005,A US-based banking and financial services company and one of the main financiers of private prison companies CoreCivic and GEO Group.,1,1,,1,https://investigate.info/company/regions-financial
RELX,RELX PLC,UK,REL,LSE,LONDON STOCK EXCHANGE,Publishing,GB00B2B0DG97,A UK-based data broker and information services provider. Its subsidiary LexisNexis provides US immigration authorities with systems used to track and target immigrant communities and sells legal databases to prisons and jails.,,1,,1,https://investigate.info/company/relx
